"cases_time_series__dailyconfirmed","cases_time_series__dailydeceased","cases_time_series__dailyrecovered","cases_time_series__date","cases_time_series__totalconfirmed","cases_time_series__totaldeceased","cases_time_series__totalrecovered","statewise__active","statewise__confirmed","statewise__deaths","statewise__deltaconfirmed","statewise__deltadeaths","statewise__deltarecovered","statewise__lastupdatedtime","statewise__migratedother","statewise__recovered","statewise__state","statewise__statecode","statewise__statenotes","tested__individualstestedperconfirmedcase","tested__positivecasesfromsamplesreported","tested__samplereportedtoday","tested__source","tested__testpositivityrate","tested__testsconductedbyprivatelabs","tested__testsperconfirmedcase","tested__testspermillion","tested__totalindividualstested","tested__totalpositivecases","tested__totalsamplestested","tested__updatetimestamp"
"1","0","0","30 January ","1","0","0","92150","186216","5269","4357","84","1853","31/05/2020 19:42:03","","88789","Total","TT","","75.64","","","Press_Release_ICMR_13March2020.pdf","1.20%","","83.33","5","5900","78","6500","13/03/2020 00:00:00"
"0","0","0","31 January ","1","0","0","34890","65168","2197","0","0","0","30/05/2020 21:54:04","","28081","Maharashtra","MH","","81.57","","","ICMR_website_update_18March_6PM_IST.pdf","1.14%","","87.50","10","12235","150","13125","18/03/2020 18:00:00"
"0","0","0","01 February ","1","0","0","9400","22333","176","1149","13","757","31/05/2020 19:03:06","","12757","Tamil Nadu","TN","2 deaths cross notified to other states from Chennai and Coimbatore.<br>1 patient died after turning negative for infection in Chengalpattu","73.96","","","ICMR_website_update_19March_10AM_IST_V2.pdf","1.26%","","79.26","10","12426","168","13316","19/03/2020 10:00:00"
"1","0","0","02 February ","2","0","0","10893","19844","473","1295","57","403","31/05/2020 18:35:04","","8478","Delhi","DL","[10-May]<br>\n\nDelhi bulletins in the morning, containing data of the previous day. We will add that data to the date on which the report is released, rather than the previous day.","72.99","","","ICMR_website_update_19March_6PM_IST.pdf","1.28%","","77.88","11","13285","182","14175","19/03/2020 18:00:00"
"1","0","0","03 February ","3","0","0","6117","16356","1007","0","0","0","30/05/2020 20:14:04","","9232","Gujarat","GJ","","65.47","","","ICMR_website_update_20March_10AM_IST.pdf","1.43%","","69.79","11","13486","206","14376","20/03/2020 10:00:00"
"0","0","0","04 February ","3","0","0","2727","8693","194","76","1","33","31/05/2020 11:21:04","","5772","Rajasthan","RJ","","61.50","","","ICMR_website_update_20March_6PM_IST.pdf","1.53%","","65.27","12","14514","236","15404","20/03/2020 18:00:00"
"0","0","0","05 February ","3","0","0","3104","7891","343","0","0","0","30/05/2020 22:36:04","","4444","Madhya Pradesh","MP","","54.65","","","ICMR_website_update_21March_10AM_IST.pdf","1.73%","","57.94","12","14811","271","15701","21/03/2020 10:00:00"
"0","0","0","06 February ","3","0","0","2837","7701","213","0","0","0","30/05/2020 22:05:06","","4651","Uttar Pradesh","UP","","50.86","","","ICMR_website_update_21March_6PM_IST.pdf","1.86%","","53.69","13","16021","315","16911","21/03/2020 18:00:00"
"0","0","0","07 February ","3","0","0","3027","5501","317","371","8","187","31/05/2020 18:54:06","","2157","West Bengal","WB","- Cases updated as per WB bulletin.<br>\n- Deaths due to comorbidities added to total deceased<br>","47.24","","","ICMR_website_update_22March_10AM_IST.pdf","2.01%","","49.85","13","16109","341","16999","22/03/2020 10:00:00"
"0","0","0","08 February ","3","0","0","5491","5491","0","448","0","0","31/05/2020 09:54:04","","0","State Unassigned","UN","MoHFW website reports that these are the ""cases that are being reassigned to states""","43.53","","","ICMR_website_update_22March_6PM_IST.pdf","2.18%","","45.78","14","17237","396","18127","22/03/2020 18:00:00"
